key,nubKey,nameKey,taxonID,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,datasetKey,constituentKey,parentKey,parent,scientificName,canonicalName,vernacularName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,remarks,publishedIn,numDescendants,lastCrawled,lastInterpreted,issues,class,basionymKey,basionym,sourceTaxonKey
6363496,6363496,3449161,gbif:6363496,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Dianthus,Dianthus superbus,6,7707728,220,422,2518,3085411,6363496,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3085411,Dianthus,Dianthus superbus L.,Dianthus superbus,Intermediate fringed pink,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Amoen. Acad. 4: 272 (1759),8,2023-08-22T23:20:59.545+00:00,2023-08-22T23:12:43.399+00:00,[],Magnoliopsida,,,
3603377,3603377,3271862,gbif:3603377,Plantae,Tracheophyta,Ranunculales,Papaveraceae,Dactylicapnos,Dactylicapnos scandens,6,7707728,220,399,2422,7315171,3603377,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7315171,Dactylicapnos,Dactylicapnos scandens (D.Don) Hutch.,Dactylicapnos scandens,,(D.Don) Hutch.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Hutch. (1921). In: Bull. Misc. Inform. Kew 1921: 105.,0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:47.223+00:00,[],Magnoliopsida,3602444.0,Diclytra scandens D.Don,
2959543,2959543,830388,gbif:2959543,Plantae,Tracheophyta,Fabales,Fabaceae,Aphyllodium,Aphyllodium biarticulatum,6,7707728,220,1370,5386,2947277,2959543,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2947277,Aphyllodium,Aphyllodium biarticulatum (L.) Gagnep.,Aphyllodium biarticulatum,,(L.) Gagnep.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Notul. Syst. (Paris)3: 254 (1916),0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:28.933+00:00,[],Magnoliopsida,7377984.0,Hedysarum biarticulatum L.,
5415360,5415360,3488417,gbif:5415360,Plantae,Tracheophyta,Lamiales,Acanthaceae,Dicliptera,Dicliptera chinensis,6,7707728,220,408,2393,5415359,5415360,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,5415359,Dicliptera,Dicliptera chinensis (L.) Juss.,Dicliptera chinensis,Chinese foldwing,(L.) Juss.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Juss. (1807). In: Ann. Mus. Par. 9: 268.,1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:03:10.291+00:00,[],Magnoliopsida,7454268.0,Justicia chinensis L.,
5275373,5275373,41084176,gbif:5275373,Plantae,Tracheophyta,Gleicheniales,Gleicheniaceae,Dicranopteris,Dicranopteris linearis,6,7707728,7228684,7229400,6621,10601986,5275373,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,10601986,Dicranopteris,Dicranopteris linearis (Burm.fil.) Underw.,Dicranopteris linearis,Old World Forkedfern,(Burm.fil.) Underw.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Underw. (1907). In: Bull. Torrey Bot. Club 34: 249.,11,2023-08-22T23:20:59.545+00:00,2023-08-22T23:17:41.676+00:00,[],Polypodiopsida,8221043.0,Polypodium lineare Burm.fil.,
5579308,5579308,3495863,gbif:5579308,Plantae,Tracheophyta,Gleicheniales,Gleicheniaceae,Dicranopteris,Dicranopteris pedata,6,7707728,7228684,7229400,6621,10601986,5579308,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,10601986,Dicranopteris,Dicranopteris pedata (Houtt.) Nakaike,Dicranopteris pedata,Old world forked fern,(Houtt.) Nakaike,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"Nakaike. (1975). In: Enum. Pterid. Jap., Fil. 114.",0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:17:41.964+00:00,[],Polypodiopsida,5646863.0,Polypodium pedatum Houtt.,
2928667,2928667,3482382,gbif:2928667,Plantae,Tracheophyta,Solanales,Convolvulaceae,Dichondra,Dichondra repens,6,7707728,220,1176,2389,2928658,2928667,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2928658,Dichondra,Dichondra repens J.R.Forst. & G.Forst.,Dichondra repens,kidneyweed,J.R.Forst. & G.Forst.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"J. R. Forst. & G. Forst. (1775). In: Char. Gen. Pl., Ed. 1: 20.",1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:11:33.185+00:00,[],Magnoliopsida,,,
8682693,8682693,58635359,gbif:8682693,Plantae,Tracheophyta,Cornales,Hydrangeaceae,Hydrangea,Hydrangea febrifuga,6,7707728,220,949,6667,2985983,8682693,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2985983,Hydrangea,Hydrangea febrifuga (Lour.) Y.De Smet & C.Granados,Hydrangea febrifuga,,(Lour.) Y.De Smet & C.Granados,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"De Smet, Y., & Granados, C. (2015). In: Taxon 64(4): 750.",3,2023-08-22T23:20:59.545+00:00,2023-08-22T23:07:47.113+00:00,[],Magnoliopsida,7319055.0,Dichroa febrifuga Lour.,
3115588,3115588,41031456,gbif:3115588,Plantae,Tracheophyta,Asterales,Asteraceae,Dichrocephala,Dichrocephala integrifolia,6,7707728,220,414,3065,3115585,3115588,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3115585,Dichrocephala,Dichrocephala integrifolia (L.fil.) Kuntze,Dichrocephala integrifolia,Medicine Daisy,(L.fil.) Kuntze,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Revis. Gen. Pl. 1: 333 (1891),4,2023-08-22T23:20:59.545+00:00,2023-08-22T23:06:38.894+00:00,[],Magnoliopsida,5386435.0,Hippia integrifolia L.fil.,
3115608,3115608,3484526,gbif:3115608,Plantae,Tracheophyta,Asterales,Asteraceae,Dichrocephala,Dichrocephala chrysanthemifolia,6,7707728,220,414,3065,3115585,3115608,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3115585,Dichrocephala,Dichrocephala chrysanthemifolia (Blume) DC.,Dichrocephala chrysanthemifolia,,(Blume) DC.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,DC. (1833). In: Arch. Bot. (Paris) 2: 518.,2,2023-08-22T23:20:59.545+00:00,2023-08-22T23:06:39.020+00:00,[],Magnoliopsida,3115611.0,Cotula chrysanthemifolia Blume,
3817784,3817784,9672590,gbif:3817784,Plantae,Tracheophyta,Lamiales,Gesneriaceae,Raphiocarpus,Raphiocarpus sesquifolius,6,7707728,220,408,6654,7704689,3817784,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7704689,Raphiocarpus,Raphiocarpus sesquifolius (C.B.Clarke) B.L.Burtt,Raphiocarpus sesquifolius,,(C.B.Clarke) B.L.Burtt,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"Burtt, B. L. (n.d.). In: Beitr. Biol. Pfl., 70(2-3): 174 (1997-98 Publ. 1998).",1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:03:05.124+00:00,[],Magnoliopsida,3819898.0,Didissandra sesquifolia C.B.Clarke,
2869345,2869345,3525463,gbif:2869345,Plantae,Tracheophyta,Alismatales,Araceae,Dieffenbachia,Dieffenbachia seguine,6,7707728,196,551,6979,2869330,2869345,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2869330,Dieffenbachia,Dieffenbachia seguine (Jacq.) Schott,Dieffenbachia seguine,Dumbcane,(Jacq.) Schott,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"H.W.Schott & S.L.Endlicher, Melet. Bot.: 20 (1832)",0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:15:06.153+00:00,[],Liliopsida,5330458.0,Arum seguine Jacq.,
5414989,5414989,3529338,gbif:5414989,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Digitalis,Digitalis lanata,6,7707728,220,408,2420,3172032,5414989,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3172032,Digitalis,Digitalis lanata Ehrh.,Digitalis lanata,Grecian foxglove,Ehrh.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Beitr. Naturk. Verw. Wiss. 7: 152 (1792),3,2023-08-22T23:20:59.545+00:00,2023-08-22T23:03:04.079+00:00,[],Magnoliopsida,,,
5414995,5414995,3529842,gbif:5414995,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Digitalis,Digitalis purpurea,6,7707728,220,408,2420,3172032,5414995,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3172032,Digitalis,Digitalis purpurea L.,Digitalis purpurea,Purple foxglove,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Sp. Pl.: 621 (1753),6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:03:04.238+00:00,[],Magnoliopsida,,,
