id,type,format,identifier,references,created,creator,publisher,license,rightsHolder,catalogNumber
201101272,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935603/original.jpeg,https://www.inaturalist.org/photos/354935603,2014-03-14T20:00:39-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354935603
67033747,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204422/original.jpg,https://www.inaturalist.org/photos/108204422,2020-12-24T21:26:37Z,seabornbrown,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,seabornbrown,108204422
67033750,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204434/original.jpg,https://www.inaturalist.org/photos/108204434,2020-01-06T22:03:27Z,Henrik Kibak,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Henrik Kibak,108204434
67033751,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204430/original.jpeg,https://www.inaturalist.org/photos/108204430,2020-12-25T05:31:08Z,Иван Качалов,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Иван Качалов,108204430
67033751,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204437/original.jpeg,https://www.inaturalist.org/photos/108204437,2020-12-25T05:31:08Z,Иван Качалов,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Иван Качалов,108204437
67033759,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204467/original.jpeg,https://www.inaturalist.org/photos/108204467,2020-12-24T17:27:21-08:00,Zoltán Stekkelpak,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Zoltán Stekkelpak,108204467
67033763,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204461/original.jpeg,https://www.inaturalist.org/photos/108204461,2020-12-25T10:31:39-08:00,Иван Качалов,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Иван Качалов,108204461
67033763,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204465/original.jpeg,https://www.inaturalist.org/photos/108204465,2020-12-25T10:31:44-08:00,Иван Качалов,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Иван Качалов,108204465
67033763,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204470/original.jpeg,https://www.inaturalist.org/photos/108204470,2020-12-25T10:31:47-08:00,Иван Качалов,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Иван Качалов,108204470
67033767,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204428/original.jpg,https://www.inaturalist.org/photos/108204428,2018-07-28T18:39:31-07:00,Daba,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Daba,108204428
67033768,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204488/original.jpeg,https://www.inaturalist.org/photos/108204488,2020-12-24T17:22:38-08:00,Zoltán Stekkelpak,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Zoltán Stekkelpak,108204488
67033768,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204520/original.jpeg,https://www.inaturalist.org/photos/108204520,2020-12-24T17:22:28-08:00,Zoltán Stekkelpak,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Zoltán Stekkelpak,108204520
67033777,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204500/original.jpg,https://www.inaturalist.org/photos/108204500,2020-12-14T16:00:00Z,sampope,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,sampope,108204500
67033781,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204506/original.jpg,https://www.inaturalist.org/photos/108204506,2020-12-24T23:44:42Z,Gerrit van den Bergh,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Gerrit van den Bergh,108204506
67033781,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204510/original.jpg,https://www.inaturalist.org/photos/108204510,2020-12-24T23:44:42Z,Gerrit van den Bergh,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Gerrit van den Bergh,108204510
67033781,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204515/original.jpg,https://www.inaturalist.org/photos/108204515,2020-12-24T23:44:42Z,Gerrit van den Bergh,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Gerrit van den Bergh,108204515
67033782,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204507/original.jpg,https://www.inaturalist.org/photos/108204507,2020-12-25T05:39:42Z,andreagrecu,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,andreagrecu,108204507
67033784,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204485/original.jpg,https://www.inaturalist.org/photos/108204485,2018-07-28T18:55:17-07:00,Daba,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Daba,108204485
67033786,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204521/original.jpg,https://www.inaturalist.org/photos/108204521,2020-01-06T22:56:46Z,Henrik Kibak,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Henrik Kibak,108204521
67033786,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204526/original.jpg,https://www.inaturalist.org/photos/108204526,2020-01-06T22:56:46Z,Henrik Kibak,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Henrik Kibak,108204526
67033789,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204554/original.jpeg,https://www.inaturalist.org/photos/108204554,2020-12-24T17:21:17-08:00,Zoltán Stekkelpak,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Zoltán Stekkelpak,108204554
67033795,Sound,audio/x-wav,https://static.inaturalist.org/sounds/155169.wav?1608874851,https://www.inaturalist.org/sounds/155169,2020-12-25T05:40:51Z,aeruginosa,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,aeruginosa,155169
67033795,Sound,audio/x-wav,https://static.inaturalist.org/sounds/155170.wav?1608874857,https://www.inaturalist.org/sounds/155170,2020-12-25T05:40:57Z,aeruginosa,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,aeruginosa,155170
67033803,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204572/original.jpeg,https://www.inaturalist.org/photos/108204572,2020-12-24T17:16:29-08:00,Zoltán Stekkelpak,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Zoltán Stekkelpak,108204572
67033808,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204491/original.jpg,https://www.inaturalist.org/photos/108204491,2020-12-25T14:15:03-08:00,Bill Butler,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Bill Butler,108204491
67033811,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204538/original.jpg,https://www.inaturalist.org/photos/108204538,2018-07-28T18:58:36-07:00,Daba,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Daba,108204538
67033816,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204566/original.jpg,https://www.inaturalist.org/photos/108204566,2020-12-25T05:41:00Z,paulzc,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,paulzc,108204566
67033820,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204593/original.jpg,https://www.inaturalist.org/photos/108204593,2020-12-25T05:41:24Z,andreagrecu,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,andreagrecu,108204593
67033822,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204600/original.jpeg,https://www.inaturalist.org/photos/108204600,2020-12-24T07:49:43-08:00,Justin Vogel,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Justin Vogel,108204600
