inputName,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym
Parthenocissus pedata Gagnep.,4054756.0,Parthenocissus pedata Gagnep.,Parthenocissus pedata,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Tetrastigma,Tetrastigma robustum,6.0,7707728.0,220.0,7222050.0,6672.0,3039263.0,5659228.0,
Parthenocissus tricuspidata (Sieb. & Zucc.) Planch.,3039209.0,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,Parthenocissus tricuspidata,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Parthenocissus,Parthenocissus tricuspidata,6.0,7707728.0,220.0,7222050.0,6672.0,3039188.0,3039209.0,
Paspalum commersonii Lam.,2705612.0,Paspalum commersonii Lam.,Paspalum commersonii,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,Paspalum scrobiculatum,6.0,7707728.0,196.0,1369.0,3073.0,2705540.0,2705610.0,
Paspalum conjugatum Berg.,2705656.0,Paspalum conjugatum P.J.Bergius,Paspalum conjugatum,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,Paspalum conjugatum,6.0,7707728.0,196.0,1369.0,3073.0,2705540.0,2705656.0,
Paspalum dilatatum Poir.,2705565.0,Paspalum dilatatum Poir.,Paspalum dilatatum,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,Paspalum dilatatum,6.0,7707728.0,196.0,1369.0,3073.0,2705540.0,2705565.0,
Paspalum distichum L.,2705622.0,Paspalum distichum L.,Paspalum distichum,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,Paspalum distichum,6.0,7707728.0,196.0,1369.0,3073.0,2705540.0,2705622.0,
Paspalum scrobiculatum L.,2705610.0,Paspalum scrobiculatum L.,Paspalum scrobiculatum,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,Paspalum scrobiculatum,6.0,7707728.0,196.0,1369.0,3073.0,2705540.0,2705610.0,
Passiflora caerulea L.,2874199.0,Passiflora caerulea L.,Passiflora caerulea,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora caerulea,6.0,7707728.0,220.0,1414.0,2378.0,2874172.0,2874199.0,
Passiflora cupiformis Mast.,3586827.0,Passiflora cupiformis Mast.,Passiflora cupiformis,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora cupiformis,6.0,7707728.0,220.0,1414.0,2378.0,2874172.0,3586827.0,
Passiflora edulis Sims,2874190.0,Passiflora edulis Sims,Passiflora edulis,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora edulis,6.0,7707728.0,220.0,1414.0,2378.0,2874172.0,2874190.0,
