id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1408175,"Hiptage, Helicopter-flower, Clustered hiptage, Madhavi latha",Hiptage benghalensis,(L.) Kurz,3191302,556690-1,LC
1408176,"Batwing Fern, Bat's wing fern, Fern mata, Water fern",Histiopteris incisa,(Thunb.) J.Sm.,2650774,17119990-1,
1418566,"Chinese lardfruit, Kadam-seed plant",Hodgsonia macrocarpa,(Blume) Cogn.,7317816,292940-1,
1420244,"Tellicherry bark, Bitter oleander, Conessi bark, Easter tree, Ester tree, Fever-pod, Indrajao, Ivory Tree, Jasmine tree, Tellicherry tree, Conessi, Holarrhena, Kurchibark, Kurchi, Kala-Kuda, কুর্চি/কুরচি/কূটজ (Bangla), Indrayav (Sanskrit) Dudhkhuri (Assamese)",Holarrhena pubescens,Wall. ex G.Don,3169748,79318-1,LC
1378850,"Chinese hatplant, Cup-and-saucer-plant, Mandarin's-hat, Chinese-hat plant, Cup-and-saucer plant, Parasol flower, Cup and Saucer Plant, Hiba",Holmskioldia sanguinea,Retz.,2925665,863073-1,
1783933,"Indian-elm, Jungle corktree, Indian beech tree, Jungle cork tree",Holoptelea integrifolia,(Roxb.) Planch.,4160169,854174-1,LC
1423937,Spurge,Homalanthus populneus,(Geiseler) Pax,3072674,350038-1,LC
1465732,,Homalomena cochinchinensis,Engl.,2868580,87174-1,
1465734,Heart-shaped homalomena,Homalomena cordata,Schott,2868654,87178-1,
1428773,,Homalomena griffithii,(Schott) Hook.f.,4933187,87203-1,
1465789,Flat moon plant,Homalomena occulta,(Lour.) Schott,2868708,87255-1,
1465796,,Homalomena pendula,(Blume) Bakh.f.,4933184,87268-1,
1408181,"Maggie, Emerald Gem, Flat moon plant, Queen of hearts plant",Homalomena rubescens,(Roxb.) Kunth,2868726,87292-1,
1428777,Willow-Leaved Water Croton,Homonoia riparia,Lour.,3071623,350055-1,LC
1536216,,Hopea chinensis,(Merr.) Hand.-Mazz.,5669235,320865-1,EN
1428800,,Hopea griffithii,Kurz,5669074,320905-1,EN
1719914,,Hopea helferi,(Dyer) Brandis,5669049,320910-1,EN
1418642,"Chengal Pasir, Merawan Siput Jantan",Hopea odorata,Roxb.,5669231,320965-1,VU
1363481,"Barley, Common barley, Barli, Bere, Gerste, Ordzu, Арба, Арбай, जौ, तछ्व, Cereal Barley, Six-rowed Barley, Four-rowed barley, Orz, جو, యవలు",Hordeum vulgare,L.,2706056,405391-1,
1602550,Ramtamul,Horsfieldia kingii,(Hook.f.) Warb.,5564660,585728-1,LC
1420648,"Chameleon-plant, Houttuynia, Chameleon, Chameleon-flower, Chinese Lizard Tail, Heartleaf Houttuynia, Tsi, Dokudami, Fishwort, Vap Ca, Heartleaf, মচন্দৰী, 折耳根, 魚腥草, Rainbow Plant, Dj, Fish Leaf, Fish Mint",Houttuynia cordata,Thunb.,5384931,927252-1,
1420329,,Hovenia acerba,Lindl.,7273758,717557-1,LC
1370770,"Japanese raisintree, Chinese raisintree, Japanese raisin tree, Oriental raisin tree, Japanese raisin, Kemponashi, Mulberry",Hovenia dulcis,Thunb.,3039410,717558-1,LC
1783528,,Hoya bella,Hook.,3575282,98387-1,
1409692,"Honeyplant, Waxplant, Hindu Rope, هویا کارنوزا, Porcelainflower, Hoya carnosa compacta, Waxflower, Tri-Colour, Krimson Princess, Sunakhari, Bat Sheba, Hoya Memoria, گل پرتقالی, Turkish Rope, Krinke Kurls, شمعی،, Crazy cnut, Hoya Albo, Princess Hoya, Texas Rope, Red Buttons, Jade snake plant, Wayetii",Hoya carnosa,(L.f.) R.Br.,8658195,107308-3,
1428867,,Hoya coriacea,Blume,8341402,98425-1,
1718760,,Hoya curtisii,King & Gamble,3574763,98437-1,
1428869,,Hoya diversifolia,Blume,7312003,98446-1,
1718761,,Hoya elliptica,Hook.f.,3574543,98453-1,
1718764,,Hoya finlaysonii,Wight,3574423,98465-1,
1460982,,Hoya fusca,Wall.,3574339,98474-1,
1460986,,Hoya imperialis,Lindl.,3574085,98502-1,
1460988,"Sweetheart Plant, Lucky heart, قلب خوش شانس، هویا کری،, Heart leave, Sweetheart Hoya, Wax heart, Valentine Hoya, Hoya Heart",Hoya kerrii,Craib,3573959,98512-1,
1428872,"Furrowed hoya, Grooved wax flower, Lacunose-leaved hoya, Hoya Lacunosa",Hoya lacunosa,Blume,3573874,98519-1,
1420270,,Hoya lanceolata,Wall. ex D.Don,7311926,98524-1,
1718767,,Hoya lasiantha,Korth. ex Blume,3573758,98527-1,
1718768,,Hoya latifolia,G.Don,7311924,98528-1,
