id,occurrenceID,basisOfRecord,modified,institutionCode,collectionCode,datasetName,informationWithheld,catalogNumber,references,occurrenceRemarks,recordedBy,recordedByID,identifiedBy,identifiedByID,captive,eventDate,eventTime,verbatimEventDate,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,countryCode,stateProvince,identificationID,dateIdentified,identificationRemarks,taxonID,scientificName,taxonRank,kingdom,phylum,class,order,family,genus,license,rightsHolder,inaturalistLogin,publishingCountry,projectId,sex,lifeStage,reproductiveCondition,vitality,dynamicProperties
201101465,https://www.inaturalist.org/observations/201101465,HumanObservation,2024-03-04T07:34:22Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101465,https://www.inaturalist.org/observations/201101465,,smfang,,smfang,,wild,2024-03-01T17:12:30-08:00,17:12:30-08:00,2024-03-01 17:12:30-08:00,"Anza-Borrego Desert State Park, Borrego Springs, CA, US",33.3397033333,-116.3739383333,4.0,EPSG:4326,US,California,456421959.0,2024-03-03T08:33:09Z,,802494,Aphyllon cooperi,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Aphyllon,http://creativecommons.org/licenses/by-nc/4.0/,smfang,smfang,,https://www.inaturalist.org/projects/flora-of-anza-borrego-state-park-and-adjacent-desert|https://www.inaturalist.org/projects/san-diego-county-california-biodiversity|https://www.inaturalist.org/projects/san-diego-county-plant-atlas,,,,,
201101470,https://www.inaturalist.org/observations/201101470,HumanObservation,2024-03-03T10:30:27Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101470,https://www.inaturalist.org/observations/201101470,,Till,,Till,,wild,2024-03-03T16:56:35+13:00,16:56:35+13:00,2024-03-03 16:56:35,"Punakaiki, New Zealand",-42.1078691237,171.3348481804,1518.0,EPSG:4326,NZ,West Coast,456422005.0,2024-03-03T08:33:23Z,,366726,Metrosideros perforata,species,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Metrosideros,http://creativecommons.org/licenses/by-nc/4.0/,Till,tillde,,,,,,,
201101473,https://www.inaturalist.org/observations/201101473,HumanObservation,2024-03-04T08:56:18Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101473,https://www.inaturalist.org/observations/201101473,,livingandfossilthings,,Mathijs Zonneveld,,wild,2024-03-02T11:23:25+00:00,11:23:25+00:00,2024-03-02 11:23:25,"Dawlish Warren, Dawlish EX7 0NF, Vereinigtes Königreich",50.606182238,-3.4290828556,187.0,EPSG:4326,GB,England,456445526.0,2024-03-03T11:16:11Z,,53462,Ostrea edulis,species,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,http://creativecommons.org/licenses/by-nc/4.0/,livingandfossilthings,livingandfossilthings,,,,,,dead,"{""evidenceOfPresence"":""organism""}"
201101474,https://www.inaturalist.org/observations/201101474,HumanObservation,2024-03-03T14:37:18Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101474,https://www.inaturalist.org/observations/201101474,,Денис Воронов,,Денис Воронов,,wild,2024-03-03T12:54:00+07:00,12:54:00+07:00,2024/03/03 12:54,"Заельцовский р-н, Новосибирск, Новосибирская обл., Россия",55.0599956807,82.87933146,408.0,EPSG:4326,RU,Novosibirsk,456422023.0,2024-03-03T08:33:27Z,,18301,Picus canus,species,Animalia,Chordata,Aves,Piciformes,Picidae,Picus,http://creativecommons.org/licenses/by-nc/4.0/,Денис Воронов,vorden,,,,,,,
201101475,https://www.inaturalist.org/observations/201101475,HumanObservation,2024-03-17T02:04:49Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101475,https://www.inaturalist.org/observations/201101475,,judybarnes,,judybarnes,,wild,2024-03-03T17:17:49+11:00,17:17:49+11:00,2024-03-03 17:17:49,"Ferntree Gully VIC 3156, Australia",-37.8721943927,145.3047157824,174.0,EPSG:4326,AU,Victoria,456422024.0,2024-03-03T08:33:27Z,,202505,Zosterops lateralis,species,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,http://creativecommons.org/licenses/by-nc/4.0/,judybarnes,judybarnes,,https://www.inaturalist.org/projects/gardens-for-wildlife-victoria,,,,,
201101476,https://www.inaturalist.org/observations/201101476,HumanObservation,2024-03-04T07:34:23Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101476,https://www.inaturalist.org/observations/201101476,,smfang,,smfang,,wild,2024-03-01T17:28:47-08:00,17:28:47-08:00,2024-03-01 17:28:47-08:00,"Anza-Borrego Desert State Park, Borrego Springs, CA, US",33.3400383333,-116.3692166667,4.0,EPSG:4326,US,California,456422029.0,2024-03-03T08:33:28Z,,57877,Hesperocallis undulata,species,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Hesperocallis,http://creativecommons.org/licenses/by-nc/4.0/,smfang,smfang,,https://www.inaturalist.org/projects/san-diego-county-california-biodiversity|https://www.inaturalist.org/projects/san-diego-county-plant-atlas|https://www.inaturalist.org/projects/desert-lily-project|https://www.inaturalist.org/projects/flora-of-anza-borrego-state-park-and-adjacent-desert,,,flowers|flower buds,,
201101477,https://www.inaturalist.org/observations/201101477,HumanObservation,2024-03-03T21:01:48Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101477,https://www.inaturalist.org/observations/201101477,,kiwipom,,Neville Hudson,,wild,2024-03-03T21:32:56+13:00,21:32:56+13:00,2024-03-03 21:32:56,"Te Ore Ore, Masterton, New Zealand",-40.955435,175.6928316667,5.0,EPSG:4326,NZ,Wellington,456546813.0,2024-03-03T18:10:12Z,,974679,Ichneutica mutans,species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Ichneutica,http://creativecommons.org/licenses/by-nc/4.0/,kiwipom,kiwipom,NZ,,female,adult,,alive,"{""evidenceOfPresence"":""organism""}"
201101479,https://www.inaturalist.org/observations/201101479,HumanObservation,2024-03-03T08:57:07Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101479,https://www.inaturalist.org/observations/201101479,,jdabs,,Sandra Falanga,,wild,2024-03-02T15:27:16+02:00,15:27:16+02:00,2024-03-02 15:27:16,"George Municipality, South Africa",-33.9195708,22.3696957,,EPSG:4326,ZA,Western Cape,456424500.0,2024-03-03T08:51:00Z,,428358,Aptera fusca,species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Aptera,http://creativecommons.org/licenses/by-nc/4.0/,jdabs,jdabs,,,,,,,
201101481,https://www.inaturalist.org/observations/201101481,HumanObservation,2024-03-06T02:52:24Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101481,https://www.inaturalist.org/observations/201101481,,smfang,,smfang,,wild,2024-03-01T17:30:34-08:00,17:30:34-08:00,2024-03-01 17:30:34-08:00,"Anza-Borrego Desert State Park, Borrego Springs, CA, US",33.3399583333,-116.3686616667,3.0,EPSG:4326,US,California,456422077.0,2024-03-03T08:33:42Z,,76333,Chylismia claviformis,species,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Chylismia,http://creativecommons.org/licenses/by-nc/4.0/,smfang,smfang,,https://www.inaturalist.org/projects/san-diego-county-plant-atlas|https://www.inaturalist.org/projects/san-diego-county-california-biodiversity|https://www.inaturalist.org/projects/flora-of-anza-borrego-state-park-and-adjacent-desert,,,,,
201101484,https://www.inaturalist.org/observations/201101484,HumanObservation,2024-04-09T15:36:48Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101484,https://www.inaturalist.org/observations/201101484,,Ivan Paz-Vinas,https://orcid.org/0000-0002-0043-9289,Ian Andrews,,wild,2024-03-02T15:12:51+01:00,15:12:51+01:00,2024-03-02 15:12:51,"Minimes, 31200 Toulouse, France",43.6193002299,1.443929337,43.0,EPSG:4326,FR,Midi-Pyrénées,456436455.0,2024-03-03T10:08:42Z,,343752,Suillia variegata,species,Animalia,Arthropoda,Insecta,Diptera,Heleomyzidae,Suillia,http://creativecommons.org/licenses/by-nc/4.0/,Ivan Paz-Vinas,ivanpazvinas,,,,adult,,alive,"{""evidenceOfPresence"":""organism""}"
