Tên khoa học,Tên tiếng Việt,Phân bố,File,Tên đồng nghĩa,Họ,Họ thực vật,speciesKey
Lysimachia deltoidea Wight var. cinerascens Franch,Trân châu trắng,"Thái nguyên, Thanh Hóa, Lâm Đồng. Cây mọc tự nhiên dưới tán rừng thứ sinh, ven rừng, các bãi hoang, ở độ cao 500 – 1500m",lysimachia-deltoidea-wight-var-cinerascens-franch.txt,,,Primulaceae,4005384
Ficus religiosa L,"Đề, Bồ đề","Cây trông tại nhiều nơi, quanh đền, chùa, đình, trên đường phố",ficus-religiosa-l.txt,,Dâu Tằm (Moraceae),,5361935
Liparis nigra Seidenf,"Nhẵn điệp đen, Tỏi tai dê hoa tím","Hà Giang, Vĩnh Phúc (Tam Đảo), Hà Nội (Ba Vì), Lâm Đồng (Bì Đúp), Ninh Thuận. Cây mọc tự nhiên, rải rác trong rừng nguyên sinh, ở độ cao 800-1.500 m",liparis-nigra-seidenf.txt,,,Orchidaceae,5323250
Crypsinus trilobus (Houtt.) Copel. – Polypodium trilobum Houtt,Phụng vĩ,"Khá rộng. Đà Nẵng, Gia Lai, Khánh Hoà, Lâm Đồng. Cây mọc tự nhiên trong rừng thưa cây lá rộng và rừng thông, ở độ cao 800 – 1900m",crypsinus-trilobus-houtt-copel.html?wpsc_do=regen_cache&nonce=19875121105e91bec1b4cb4.txt,,,Polypodiaceae,4024206
Christia constricta (Schindl.) T.C. Chen – Lourea constricta Schindl,"Kiết thảo thắt, Re mác","Khánh Hòa (Nha Trang), Ninh Thuận (Tháp Chàm, Cà Ná), Bà Rịa Vũng Tàu (Núi Đinh). Cây mọc tự nhiên ở các bãi đất hoang, trảng cây bụi, thường gặp ở ven biển",christia-constricta-schindl-t-c-chen.txt,,,Fabaceae,5349917
Viola verecunda A. Gray,Hoa tím khiêm,"Lâm Đồng (Đà Lạt). Cây mọc tự nhiên ven đường mòn, ven rừng, ở độ cao 2.500 m.",viola-verecunda-a-gray.txt,,,Violaceae,5664666
Artemisia capillaris Thunb,"Ngải lá kim, Nhân trần Trung Quốc","Lào Cai (Sa Pa), Lâm Đồng (Đà Lạt). Cây thường được trồng",artemisia-capillaris-thunb.txt,,,Asteraceae,3120722
Pentapanax fragrans (D. Don) Ha – Hedera fragrans D. Don,"Ngũ diệp sâm, Thạch giáp sâm, Thạch giáp phong","Lào Cai (Sa Pa). Cây mọc ở vùng cao, ẩm.",pentapanax-fragrans-d-don-ha.txt,,,Araliaceae,3037075
Pavetta indica L. – Ixora indica (L.) Kuntze; Pavetta alba Vahl,"Dọt sành, Thanh táo rừng, Bã mía, Kho sơm kao (Tày)","Quảng Bình, Quảng Trị, Thừa Thiên Huế, Hoà Bình, Tuyên Quang… Cây mọc tự nhiên dọc theo suối ở rừng tái sinh sau nương rẫy",pavetta-indica-l.txt,,,Rubiaceae,2924801
Rubus inopertus (Diels) Forke,Đum trần,,rubus-inopertus-diels-forke.txt,,"Hoa hồng (Rosaceae) Cập nhật01/07/2019 ★ ★ ★ ★ ★ ★ 0.0 - 0 đánh giá Chia sẻ Chia sẻ Cây thuốc khác Nerium oleander L. Jasminum scandens Vahl Callerya cinerea (Benth.) Schot Dendrobium bellatulum Rolfe Bình luận Câu hỏi của bạn Hủy X Bạn vui lòng điền thêm thông tin! Chọn tệp (Allowed file typesjpg, png , maximum file size100MB. Cây thuốc được quan tâm Ampelopsis cantoniensis (Hook. et Arn.) Planch. Chữa sưng vú (Lá giã đắp). Đau dạ dày hành tá tràng (Cành lá... Curculigo orchioides Gaertn",,2990606
Momordica charantia L,"Mướp đắng , Khổ qua, Mướp mủ, Lương qua, Chưa rao (Mường), Cẩm lệ chi, Mác khấy (Tày)",Cây trồng phổ biến ở miền Trung và miền Nam,momordica-charantia-l.txt,,,Cucurbitaceae,2874581
Passiflora wilsonii Hemsl,"Lạc tiên willson, Dang tân tồn","Quảng Bình, Thừa Thiên Huế, Lào Cai. Cây mọc tự nhiên trong các trảng cây bụi ở vùng núi cao ở vùng núi cao từ 1300 – 2500m.",passiflora-wilsonii-hemsl.txt,,,Passifloraceae,3587992
"Gamblea ciliata var. evodiifolia (Franch.) C.B.Shang, Lowry & Frodin (Evodiopanax evodiifolius (Franch.) Nakai. – Acanthopanax evodiaefolius Franch.)","Thù du ngũ gia bì gai, Ngũ gia bì gai","Hà Giang (Phó Bảng), Sơn La (Đà Bắc). Cây mọc tự nhiên rải rác ven rừng, ở độ cao 600-2300 m.",evodiopanax-evodiifolius-franch-nakai.txt,,,Araliaceae,3037427
Croton delpyi Gagnep,Cù đèn delpy,"Tây Ninh. Cây mọc tự nhiên trong rừng thường xanh, rừng hỗn giao, rừng còi.",croton-delpyi-gagnep.txt,,,Họ Thầu dầu (Euphorbiaceae),3060103
Euphorbia thymifolia L . Họ Thầu dầu (Euphorbiaceae),"Cỏ sữa lá nhỏ, Vú sữa đất, Cẩm địa, Thiên căn thảo, Nhả nực nọi (Thái), Nhả nậm mòn, Chạ cam (Tày)","Cây mọc tự nhiên trên các bãi trống, nương rẫy bỏ hoang, ở độ cao dưới 500 m, phổ biến ở Việt Nam",euphorbia-thymifolia-l.txt,,,,
